201, 1901, 002, 2024-06-10, Week, 7, 300.00, 45.00, 345.00
202, 1908, 001, 2024-06-17, Day, 1, 60.00, 9.00, 69.00
203, 1921, 004, 2024-07-04, Day, 3, 180.00, 27.00, 207.00
204, 1903, 003, 2024-07-01, Day, 1, 60.00, 9.00, 69.00
205, 1915, 002, 2024-07-04, Week, 7, 300.00, 45.00, 345.00
206, 1915, 004, 2024-07-11, Week, 7, 300.00, 45.00, 345.00
207, 1903, 003, 2024-07-20, Week, 7, 300.00, 45.00, 345.00
208, 1901, 001, 2024-07-27, Day, 1, 60.00, 9.00, 69.00
209, 1903, 004, 2024-08-01, Week, 7, 300.00, 45.00, 345.00
210, 1908, 003, 2024-08-05, Day, 1, 60.00, 9.00, 69.00
