132, 2024-07-01, "Monthly Stand Fees", 1901, 175.00, 26.25, 201.25
133, 2024-07-01, "Monthly Stand Fees", 1902, 175.00, 26.25, 201.25
134, 2024-07-01, "Monthly Stand Fees", 1903, 175.00, 26.25, 201.25
135, 2024-07-01, "Monthly Stand Fees", 1908, 175.00, 26.25, 201.25
136, 2024-07-04, "Weekly Car Rental", 1915, 300.00, 45.00, 345.00
137, 2024-07-04, "Daily Car Rental", 1921, 60.00, 9.00, 69.00
138, 2024-07-05, "Daily Car Rental", 1921, 60.00, 9.00, 69.00
139, 2024-07-06, "Daily Car Rental", 1921, 60.00, 9.00, 69.00
140, 2024-07-11, "Weekly Car Rental", 1915, 300.00, 45.00, 345.00
141, 2024-07-18, "Weekly Car Rental", 1915, 300.00, 45.00, 345.00
